UnitID,UnitRenderID,ScaleFactor,Tier,MaxHealth,MoveSpeed,BaseDamage,ROF,AttackRange,ProjectileSpeed,Attack Type,TargetType,BuildCost,Armor,Speed,Armor Type,AttackAbilityID,SkillAbilityID
unit_frog_tower,Rookie Egg 0013,1,1,1000,0,6,0.7,600,10,Heavy,Everything,0,5,Fast,Heavy,ga_frog_attack,
unit_grunt_tower,Rookie Magician 0084,1,1,1000,0,50,0.7,325,10,Normal,Everything,0,5,Fast,Heavy,ga_grunt_attack,
unit_horse_tower,Rookie Plant 0073,1,1,1000,0,20,0.7,700,10,Magic,Everything,0,5,Fast,Heavy,ga_horse_attack,
unit_murlock_tower,Rookie Shank 0052,1,1,1000,0,19,0.7,500,10,Piercing,Everything,0,5,Fast,Heavy,ga_murlock_attack,
unit_golin_tower,Rookie Boxcat 0417,1,1,1000,0,23,0.7,500,10,Siege,Everything,0,5,Fast,Heavy,ga_golin_attack,ga_golin_skill
unit_scout_tower,Champion Manekineko 0312,1,1,1000,0,20,0.7,600,10,Chaos,Everything,0,5,Fast,Heavy,ga_scout_attack,
unit_wisdom_tower,Rookie Ninja 04Light,1,1,1000,0,17,0.7,900,10,Hero,Everything,0,5,Fast,Heavy,ga_wisdom_attack,
unit_turle_tower,Champion Plant 0080,1,2,1000,0,43,0.7,500,10,Normal,Everything,0,5,Fast,Heavy,ga_turle_attack,
unit_radar_tower,,1,2,1000,0,50,0.7,600,10,Normal,Everything,0,5,Fast,Heavy,ga_radar_attack,
unit_chicken_tower,Champion Shank 0056,1,2,1000,0,15,0.7,550,10,Magic,Everything,0,5,Fast,Heavy,ga_chicken_attack,
unit_siren_tower,Champion Egg 0018,1,2,1000,0,40,0.7,900,10,Piercing,Everything,0,5,Fast,Heavy,ga_siren_ability,
unit_goblin_saipa_tower,Ultimate Manekineko 0313,1,2,1000,0,60,0.7,700,10,Siege,Everything,0,5,Fast,Heavy,ga_goblin_saipa_attack,
unit_guard_tower,Champion Boxcat 0416,1,2,1000,0,50,0.7,600,10,Chaos,Everything,0,5,Fast,Heavy,ga_guard_attack,
unit_dryad_tower,Rookie Magician 0082,1,2,1000,0,18,0.5,600,10,Hero,Everything,0,5,Very fast,Heavy,ga_dryad_attack,
unit_goblin_zepplin_tower,Rookie Ninja 05Dark,1,2,1000,0,180,0.7,900,10,Siege,Everything,0,5,Fast,Heavy,ga_goblin_zepplin_attack,
unit_crab_tower,Champion Ninja 02Fire,1,2,1000,0,65,0.5,400,10,Normal,Everything,0,5,Very fast,Heavy,ga_crab_attack,
unit_windrider_tower,Champion Ninja 02Fire,1,3,1000,0,130,0.7,600,10,Normal,Everything,0,5,Fast,Heavy,ga_windrider_attack,
unit_flying_sheep_tower,Champion Ninja 04Light,1,3,1000,0,45,0.7,600,10,Magic,Everything,0,5,Fast,Heavy,ga_flying_sheep_attack,
unit_royal_guard_tower,Champion Magician 0090,1,3,1000,0,190,0.7,400,10,Piercing,Everything,0,5,Fast,Heavy,ga_royal_guard_attack,
unit_canon_tower,Rookie Vivian,1,3,1000,0,135,0.7,600,10,Chaos,Everything,0,5,Fast,Heavy,ga_canon_attack,
unit_huntress_tower,Ultimate Ninja 03Wood,1,3,1000,0,65,0.7,500,10,Hero,Everything,0,5,Fast,Heavy,ga_huntress_attack,
unit_owl_tower,Ultimate Manekineko 0307,1,3,1000,0,60,0.5,600,10,Normal,Everything,0,5,Very fast,Heavy,ga_owl_attack,ga_owl_skill_proc
unit_demolisher_tower,Ultimate Flaskbean,1,4,1000,0,375,0.8,1000,10,Normal,Everything,0,5,Average,Heavy,ga_demolisher_attack,
unit_cowl_tower,Ultimate Plant 0397,1,4,1000,0,210,0.5,600,10,Magic,Everything,0,5,Very fast,Heavy,ga_cowl_attack,ga_cowl_skill_proc
unit_hydra_tower,Rookie Guinevere,1,4,1000,0,315,0.5,525,10,Piercing,Everything,0,5,Very fast,Heavy,ga_hydra_attack,
